Genus,Name
Artemisia,Sagebrush
Chrysothamnus,Rabbitbrush
Lewisia,Bitterroot
Achillea,Yarrow
Poa,Western wheatgrass
Elymus,Wild rye
Krashinnikovia,Winterfat
Astragalus,Legume
Sedge,Carex
Erigeron,Aster
